标准技能名称,技能一级类型,技能簇编号,技能簇名称,原始技能类型,历史技能岗位数,历史与AI共同出现岗位数,近年与AI共同出现岗位数,活跃月份数,AI共现提升度,与AI共现强度_NPMI,历史AI协同占比,指标口径
Webpack,其他技能,10,Web前端开发,工具软件与技术平台,23635,359,129,73,1.4226931481611955,0.0350199656730046,0.0151893378464142,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
渗透测试,其他技能,22,网络运维与信息安全,工具软件与技术平台,18944,347,107,80,1.7156558984589798,0.0534389605117508,0.0183171452702702,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
生物信息学,专业知识,18,医药研发与药事管理,专业知识与行业经验,2390,343,172,77,13.442146276825357,0.2569423815981773,0.1435146443514644,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
电路设计,其他技能,11,嵌入式与电子硬件开发,方法、标准与流程,74029,333,131,76,0.4213225932354457,-0.0852225762806007,0.0044982371773224,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Matplotlib,其他技能,15,人工智能与数据挖掘,工具软件与技术平台,549,332,190,76,56.64194229495124,0.3978916523204323,0.604735883424408,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
战略思维,非技术型技能,2,组织协调与商业执行,非技术性能力,22906,327,128,78,1.337121568429029,0.0285929368854211,0.0142757356151226,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
FastAPI,其他技能,15,人工智能与数据挖掘,工具软件与技术平台,600,325,318,34,50.73463129506363,0.3862241038062561,0.5416666666666666,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Jenkins,其他技能,13,云计算、系统运维与DevOps,工具软件与技术平台,14700,324,108,82,2.064429581111537,0.0712755599091178,0.0220408163265306,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
策划能力,非技术型技能,5,视觉设计与数字内容制作,非技术性能力,76888,323,109,76,0.3934742860737829,-0.0916892737199219,0.0042009156175215,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
社群运营,其他技能,5,视觉设计与数字内容制作,方法、标准与流程,25401,318,102,73,1.1725967967461173,0.0156276021793342,0.012519192157789,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
TypeScript,其他技能,10,Web前端开发,工具软件与技术平台,11067,315,156,72,2.665956395595228,0.0961533022534622,0.0284629981024667,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Modbus,其他技能,9,工业自动化与电气控制,工具软件与技术平台,7035,313,205,79,4.167279539538767,0.139869084642137,0.0444918265813788,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
单片机,其他技能,11,嵌入式与电子硬件开发,方法、标准与流程,48857,308,126,83,0.590467934731202,-0.0515479583614204,0.0063041120003274,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
摄影,其他技能,5,视觉设计与数字内容制作,方法、标准与流程,15692,304,119,80,1.8145447456263075,0.0582241798365722,0.0193729288809584,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
